Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
07.10.2017 00:00:00;-0.29;-0.21;-0.82;-0.28;286.84;13.69;-23.55;-18.35;325.42;349.65;77.93;-5.20;-24.23;-29.43;
07.10.2017 00:01:00;-0.28;-0.21;-0.98;-0.28;286.85;13.70;-23.04;-18.21;314.20;349.36;79.03;-4.83;-35.16;-39.99;
07.10.2017 00:02:00;-0.29;-0.21;-0.91;-0.28;286.84;13.69;-23.65;-18.43;318.79;349.17;77.93;-5.22;-30.39;-35.61;
07.10.2017 00:03:00;-0.29;-0.22;-0.70;-0.28;286.84;13.69;-23.47;-19.24;334.02;349.56;81.98;-4.23;-15.54;-19.77;
07.10.2017 00:04:00;-0.28;-0.22;-0.66;-0.27;286.84;13.69;-23.02;-19.10;336.77;350.59;83.00;-3.92;-13.82;-17.74;
07.10.2017 00:05:00;-0.29;-0.22;-1.03;-0.28;286.87;13.72;-23.55;-18.87;310.59;350.20;80.12;-4.68;-39.61;-44.29;
07.10.2017 00:06:00;-0.29;-0.21;-1.16;-0.29;286.87;13.72;-23.71;-18.59;301.20;349.01;78.40;-5.12;-47.82;-52.94;
07.10.2017 00:07:00;-0.30;-0.21;-0.89;-0.29;286.87;13.72;-24.04;-18.24;320.95;349.17;75.89;-5.80;-28.22;-34.02;
07.10.2017 00:08:00;-0.29;-0.21;-0.66;-0.28;286.91;13.76;-23.13;-17.93;337.34;349.92;77.59;-5.19;-12.58;-17.77;
07.10.2017 00:09:00;-0.28;-0.21;-0.78;-0.28;286.91;13.76;-22.67;-18.13;328.78;350.34;79.96;-4.55;-21.56;-26.11;
07.10.2017 00:10:00;-0.29;-0.21;-0.79;-0.28;286.92;13.77;-23.10;-18.48;327.83;350.48;80.02;-4.62;-22.66;-27.27;
07.10.2017 00:11:00;-0.29;-0.22;-0.79;-0.27;286.92;13.77;-23.83;-18.95;328.20;351.13;79.49;-4.89;-22.93;-27.82;
07.10.2017 00:12:00;-0.29;-0.21;-0.67;-0.27;286.94;13.79;-23.16;-18.64;336.85;351.28;80.51;-4.52;-14.43;-18.95;
07.10.2017 00:13:00;-0.29;-0.22;-0.62;-0.27;286.92;13.77;-23.10;-18.85;339.99;351.61;81.61;-4.25;-11.62;-15.87;
07.10.2017 00:14:00;-0.28;-0.22;-0.75;-0.27;286.92;13.77;-22.94;-18.94;330.90;351.87;82.53;-4.01;-20.97;-24.98;
07.10.2017 00:15:00;-0.29;-0.22;-0.94;-0.27;286.91;13.76;-23.16;-18.91;317.09;351.25;81.64;-4.25;-34.16;-38.41;
07.10.2017 00:16:00;-0.28;-0.22;-0.76;-0.27;286.90;13.75;-23.08;-19.15;330.17;350.89;82.99;-3.93;-20.72;-24.65;
07.10.2017 00:17:00;-0.28;-0.22;-0.57;-0.26;286.88;13.73;-22.45;-18.95;343.57;351.72;84.40;-3.50;-8.16;-11.66;
07.10.2017 00:18:00;-0.28;-0.21;-0.61;-0.26;286.89;13.74;-22.53;-18.56;340.55;352.21;82.38;-3.97;-11.66;-15.63;
07.10.2017 00:19:00;-0.28;-0.21;-0.81;-0.26;286.90;13.75;-22.90;-18.53;326.75;352.17;80.91;-4.37;-25.42;-29.80;
07.10.2017 00:20:00;-0.29;-0.21;-0.75;-0.26;286.91;13.76;-23.13;-18.68;330.81;351.91;80.75;-4.45;-21.10;-25.55;
07.10.2017 00:21:00;-0.28;-0.21;-0.58;-0.26;286.91;13.76;-22.27;-18.10;342.93;352.10;81.32;-4.16;-9.17;-13.33;
07.10.2017 00:22:00;-0.27;-0.21;-0.53;-0.26;286.94;13.79;-21.95;-18.32;346.62;352.68;83.47;-3.63;-6.07;-9.69;
07.10.2017 00:23:00;-0.28;-0.21;-0.56;-0.26;286.97;13.82;-22.29;-18.22;344.45;353.05;81.78;-4.06;-8.61;-12.67;
07.10.2017 00:24:00;-0.28;-0.22;-0.67;-0.26;286.98;13.83;-22.52;-18.81;337.24;352.94;83.53;-3.71;-15.71;-19.41;
07.10.2017 00:25:00;-0.27;-0.22;-0.60;-0.26;286.99;13.84;-22.15;-18.97;342.14;353.02;85.64;-3.18;-10.88;-14.06;
07.10.2017 00:26:00;-0.27;-0.21;-0.56;-0.26;286.96;13.81;-22.07;-18.72;344.29;353.29;84.84;-3.35;-9.00;-12.35;
07.10.2017 00:27:00;-0.28;-0.22;-0.64;-0.26;286.91;13.76;-22.43;-19.56;338.80;352.98;87.21;-2.87;-14.18;-17.05;
07.10.2017 00:28:00;-0.27;-0.22;-0.54;-0.25;286.94;13.79;-21.77;-18.88;345.86;353.41;86.71;-2.89;-7.55;-10.44;
07.10.2017 00:29:00;-0.26;-0.21;-0.52;-0.25;286.98;13.83;-21.00;-18.06;347.32;353.67;86.00;-2.94;-6.34;-9.28;
07.10.2017 00:30:00;-0.27;-0.20;-0.73;-0.26;287.03;13.88;-21.69;-17.84;332.85;353.37;82.25;-3.85;-20.53;-24.38;
07.10.2017 00:31:00;-0.28;-0.21;-0.94;-0.26;287.03;13.88;-23.03;-18.35;317.59;352.81;79.72;-4.68;-35.23;-39.91;
07.10.2017 00:32:00;-0.29;-0.22;-0.97;-0.27;287.02;13.87;-23.58;-18.90;315.55;351.69;80.17;-4.68;-36.14;-40.82;
07.10.2017 00:33:00;-0.29;-0.21;-0.70;-0.27;287.04;13.89;-23.13;-18.68;335.06;351.79;80.79;-4.45;-16.73;-21.17;
07.10.2017 00:34:00;-0.27;-0.21;-0.52;-0.26;287.03;13.88;-22.03;-17.92;347.54;352.63;81.34;-4.11;-5.09;-9.20;
07.10.2017 00:35:00;-0.27;-0.21;-0.54;-0.26;287.06;13.91;-22.03;-18.48;346.38;353.17;83.89;-3.55;-6.80;-10.35;
07.10.2017 00:36:00;-0.28;-0.21;-0.69;-0.26;287.08;13.93;-22.28;-18.31;336.13;353.17;82.20;-3.97;-17.04;-21.01;
07.10.2017 00:37:00;-0.28;-0.21;-0.58;-0.26;287.08;13.93;-22.71;-18.73;343.69;352.98;82.46;-3.98;-9.28;-13.27;
07.10.2017 00:38:00;-0.28;-0.22;-0.56;-0.26;287.09;13.94;-23.01;-19.41;345.32;353.59;84.39;-3.60;-8.27;-11.87;
07.10.2017 00:39:00;-0.28;-0.22;-0.62;-0.26;287.10;13.95;-22.38;-19.02;341.02;353.64;85.03;-3.35;-12.62;-15.97;
07.10.2017 00:40:00;-0.27;-0.21;-0.56;-0.26;287.13;13.98;-21.88;-18.60;345.66;353.37;84.98;-3.29;-7.71;-10.99;
07.10.2017 00:41:00;-0.27;-0.23;-0.60;-0.26;287.09;13.94;-22.09;-19.84;342.79;353.36;89.83;-2.24;-10.58;-12.82;
