Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
07.10.2017 00:42:00;-0.27;-0.22;-0.66;-0.26;287.12;13.97;-22.06;-19.23;338.21;353.54;87.16;-2.83;-15.33;-18.16;
07.10.2017 00:43:00;-0.27;-0.21;-0.58;-0.26;287.16;14.01;-21.82;-18.41;344.59;353.64;84.35;-3.42;-9.05;-12.47;
07.10.2017 00:44:00;-0.27;-0.21;-0.56;-0.26;287.18;14.03;-21.91;-18.56;345.58;353.45;84.74;-3.34;-7.87;-11.21;
07.10.2017 00:45:00;-0.28;-0.22;-0.53;-0.26;287.18;14.03;-22.46;-19.48;348.12;353.49;86.78;-2.98;-5.37;-8.35;
07.10.2017 00:46:00;-0.29;-0.22;-0.54;-0.26;287.21;14.06;-23.11;-19.44;347.08;354.00;84.12;-3.67;-6.92;-10.60;
07.10.2017 00:47:00;-0.29;-0.22;-0.74;-0.26;287.21;14.06;-23.22;-19.36;333.13;353.71;83.37;-3.86;-20.58;-24.45;
07.10.2017 00:48:00;-0.30;-0.23;-0.92;-0.27;287.18;14.03;-24.11;-19.67;320.40;352.74;81.57;-4.44;-32.33;-36.78;
07.10.2017 00:49:00;-0.30;-0.22;-0.71;-0.27;287.16;14.01;-24.39;-19.36;335.02;352.61;79.39;-5.03;-17.59;-22.62;
07.10.2017 00:50:00;-0.30;-0.22;-0.73;-0.27;287.16;14.01;-24.16;-19.15;333.40;352.68;79.25;-5.01;-19.27;-24.29;
07.10.2017 00:51:00;-0.28;-0.22;-0.58;-0.27;287.16;14.01;-23.00;-18.86;344.00;352.76;82.00;-4.14;-8.76;-12.90;
07.10.2017 00:52:00;-0.29;-0.22;-0.52;-0.26;287.14;13.99;-23.45;-19.36;348.44;353.18;82.53;-4.10;-4.74;-8.84;
07.10.2017 00:53:00;-0.29;-0.22;-0.54;-0.26;287.13;13.98;-23.26;-19.33;346.65;353.69;83.13;-3.92;-7.04;-10.96;
07.10.2017 00:54:00;-0.28;-0.22;-0.61;-0.26;287.12;13.97;-22.91;-19.39;341.92;353.50;84.65;-3.52;-11.58;-15.10;
07.10.2017 00:55:00;-0.28;-0.22;-0.80;-0.26;287.12;13.97;-23.08;-19.26;328.05;353.24;83.49;-3.81;-25.19;-29.00;
07.10.2017 00:56:00;-0.28;-0.21;-0.85;-0.27;287.12;13.97;-22.93;-18.70;324.97;352.70;81.59;-4.23;-27.72;-31.95;
07.10.2017 00:57:00;-0.29;-0.21;-0.82;-0.27;287.11;13.96;-23.87;-18.46;326.81;352.15;77.34;-5.41;-25.34;-30.75;
07.10.2017 00:58:00;-0.30;-0.21;-0.94;-0.27;287.12;13.97;-24.01;-18.74;318.41;351.85;78.04;-5.27;-33.44;-38.71;
07.10.2017 00:59:00;-0.29;-0.21;-0.85;-0.28;287.14;13.99;-23.79;-18.33;324.59;351.42;77.03;-5.47;-26.84;-32.30;
07.10.2017 01:00:00;-0.29;-0.21;-0.92;-0.28;287.14;13.99;-23.56;-18.31;320.03;351.23;77.70;-5.26;-31.20;-36.45;
07.10.2017 01:01:00;-0.30;-0.21;-0.89;-0.28;287.11;13.96;-24.02;-18.57;321.65;350.99;77.29;-5.46;-29.34;-34.80;
07.10.2017 01:02:00;-0.30;-0.22;-0.92;-0.28;287.09;13.94;-24.31;-19.20;319.76;350.83;78.98;-5.11;-31.07;-36.18;
07.10.2017 01:03:00;-0.29;-0.21;-0.82;-0.28;287.12;13.97;-23.88;-18.70;326.69;350.76;78.35;-5.17;-24.07;-29.24;
07.10.2017 01:04:00;-0.29;-0.21;-0.82;-0.28;287.14;13.99;-23.55;-18.19;326.84;350.88;77.21;-5.37;-24.03;-29.40;
07.10.2017 01:05:00;-0.29;-0.21;-0.80;-0.28;287.15;14.00;-23.53;-18.02;328.34;351.24;76.60;-5.51;-22.90;-28.41;
07.10.2017 01:06:00;-0.29;-0.21;-0.85;-0.29;287.19;14.04;-23.88;-18.03;325.37;350.94;75.50;-5.85;-25.57;-31.42;
07.10.2017 01:07:00;-0.29;-0.21;-0.70;-0.28;287.21;14.06;-23.66;-18.26;335.85;351.42;77.18;-5.40;-15.57;-20.97;
07.10.2017 01:08:00;-0.29;-0.22;-0.64;-0.28;287.25;14.10;-23.14;-18.89;340.77;351.89;81.63;-4.25;-11.12;-15.37;
07.10.2017 01:09:00;-0.28;-0.21;-0.63;-0.28;287.30;14.15;-22.44;-18.78;341.55;352.16;83.67;-3.67;-10.61;-14.28;
07.10.2017 01:10:00;-0.28;-0.22;-0.64;-0.28;287.30;14.15;-22.55;-19.65;340.83;352.26;87.13;-2.90;-11.43;-14.33;
07.10.2017 01:11:00;-0.28;-0.23;-0.71;-0.28;287.31;14.16;-23.08;-19.83;335.63;352.44;85.95;-3.24;-16.81;-20.06;
07.10.2017 01:12:00;-0.28;-0.22;-0.74;-0.28;287.37;14.22;-22.85;-19.34;334.12;352.50;84.64;-3.51;-18.38;-21.89;
07.10.2017 01:13:00;-0.27;-0.22;-0.65;-0.28;287.42;14.27;-22.19;-19.06;340.62;352.63;85.90;-3.13;-12.01;-15.14;
07.10.2017 01:14:00;-0.28;-0.22;-0.65;-0.28;287.47;14.32;-22.36;-19.13;340.80;352.85;85.53;-3.24;-12.05;-15.28;
07.10.2017 01:15:00;-0.28;-0.22;-0.74;-0.28;287.50;14.35;-23.03;-19.53;335.07;352.98;84.83;-3.50;-17.91;-21.40;
07.10.2017 01:16:00;-0.29;-0.23;-0.67;-0.28;287.53;14.38;-23.63;-19.83;339.58;353.05;83.94;-3.79;-13.48;-17.27;
07.10.2017 01:17:00;-0.29;-0.23;-0.67;-0.28;287.57;14.42;-23.41;-20.04;339.93;353.21;85.60;-3.37;-13.29;-16.66;
07.10.2017 01:18:00;-0.28;-0.23;-0.62;-0.28;287.57;14.42;-22.61;-19.87;343.52;353.19;87.86;-2.75;-9.67;-12.42;
07.10.2017 01:19:00;-0.29;-0.23;-0.64;-0.28;287.60;14.45;-23.24;-19.92;342.29;353.48;85.71;-3.32;-11.20;-14.52;
07.10.2017 01:20:00;-0.29;-0.23;-0.80;-0.29;287.61;14.46;-23.82;-19.90;330.92;353.12;83.57;-3.92;-22.20;-26.11;
07.10.2017 01:21:00;-0.30;-0.23;-0.78;-0.29;287.60;14.45;-24.35;-19.87;332.67;352.79;81.61;-4.48;-20.12;-24.60;
07.10.2017 01:22:00;-0.31;-0.23;-0.62;-0.29;287.63;14.48;-24.72;-19.80;344.20;353.14;80.07;-4.93;-8.94;-13.87;
07.10.2017 01:23:00;-0.30;-0.23;-0.60;-0.29;287.63;14.48;-24.51;-19.92;345.65;353.32;81.26;-4.59;-7.68;-12.27;
07.10.2017 01:24:00;-0.30;-0.23;-0.64;-0.28;287.64;14.49;-24.15;-20.48;342.83;353.64;84.83;-3.67;-10.81;-14.48;
07.10.2017 01:25:00;-0.29;-0.23;-0.59;-0.28;287.66;14.51;-23.13;-20.32;346.32;353.76;87.83;-2.82;-7.45;-10.26;
07.10.2017 01:26:00;-0.29;-0.23;-0.59;-0.28;287.64;14.49;-23.18;-20.23;345.93;353.73;87.26;-2.95;-7.80;-10.75;
07.10.2017 01:27:00;-0.29;-0.23;-0.67;-0.28;287.67;14.52;-23.42;-20.42;340.31;353.70;87.17;-3.01;-13.39;-16.39;
07.10.2017 01:28:00;-0.30;-0.23;-0.67;-0.28;287.70;14.55;-23.97;-20.28;340.86;353.97;84.64;-3.68;-13.12;-16.80;
07.10.2017 01:29:00;-0.29;-0.23;-0.61;-0.28;287.72;14.57;-23.85;-19.82;344.87;353.99;83.13;-4.03;-9.12;-13.15;
07.10.2017 01:30:00;-0.30;-0.23;-0.54;-0.28;287.74;14.59;-24.38;-19.67;350.16;354.25;80.70;-4.71;-4.09;-8.80;
07.10.2017 01:31:00;-0.30;-0.23;-0.55;-0.28;287.76;14.61;-24.14;-19.85;349.86;354.56;82.25;-4.29;-4.70;-8.99;
07.10.2017 01:32:00;-0.30;-0.23;-0.65;-0.28;287.78;14.63;-24.21;-19.92;342.70;354.47;82.29;-4.29;-11.77;-16.06;
07.10.2017 01:33:00;-0.30;-0.23;-0.58;-0.28;287.77;14.62;-24.67;-20.37;347.53;354.44;82.56;-4.31;-6.91;-11.21;
07.10.2017 01:34:00;-0.29;-0.23;-0.56;-0.28;287.78;14.63;-23.83;-20.39;348.84;354.75;85.55;-3.44;-5.92;-9.36;
07.10.2017 01:35:00;-0.29;-0.23;-0.53;-0.28;287.81;14.66;-23.21;-19.65;351.29;355.10;84.68;-3.56;-3.81;-7.37;
07.10.2017 01:36:00;-0.28;-0.22;-0.58;-0.28;287.85;14.70;-22.48;-19.25;348.07;355.03;85.62;-3.23;-6.96;-10.19;
07.10.2017 01:37:00;-0.28;-0.23;-0.58;-0.28;287.87;14.72;-22.63;-19.96;348.43;355.04;88.18;-2.68;-6.60;-9.28;
07.10.2017 01:38:00;-0.29;-0.23;-0.54;-0.28;287.90;14.75;-23.31;-19.76;351.18;355.19;84.80;-3.54;-4.01;-7.55;
07.10.2017 01:39:00;-0.29;-0.23;-0.54;-0.28;287.93;14.78;-23.08;-19.79;351.32;355.50;85.72;-3.30;-4.18;-7.48;
07.10.2017 01:40:00;-0.27;-0.22;-0.54;-0.28;287.96;14.81;-22.05;-19.12;351.07;355.52;86.72;-2.93;-4.45;-7.38;
07.10.2017 01:41:00;-0.27;-0.22;-0.57;-0.28;288.01;14.86;-21.80;-19.46;349.42;355.47;89.28;-2.34;-6.05;-8.39;
07.10.2017 01:42:00;-0.27;-0.22;-0.58;-0.29;288.04;14.89;-21.98;-19.45;349.20;355.39;88.51;-2.53;-6.19;-8.72;
07.10.2017 01:43:00;-0.28;-0.23;-0.55;-0.29;288.06;14.91;-22.60;-19.99;351.56;355.19;88.45;-2.61;-3.63;-6.24;
07.10.2017 01:44:00;-0.28;-0.23;-0.54;-0.29;288.10;14.95;-22.79;-20.49;352.47;355.66;89.91;-2.30;-3.19;-5.49;
07.10.2017 01:45:00;-0.29;-0.23;-0.54;-0.29;288.12;14.97;-23.41;-20.45;352.39;355.49;87.41;-2.96;-3.10;-6.06;
07.10.2017 01:46:00;-0.30;-0.24;-0.54;-0.29;288.15;15.00;-24.33;-20.81;352.51;355.81;85.56;-3.51;-3.30;-6.81;
07.10.2017 01:47:00;-0.29;-0.23;-0.54;-0.29;288.18;15.03;-23.84;-20.40;352.54;356.09;85.58;-3.44;-3.55;-6.99;
07.10.2017 01:48:00;-0.30;-0.23;-0.56;-0.29;288.22;15.07;-24.07;-19.94;351.51;356.16;82.85;-4.13;-4.66;-8.79;
07.10.2017 01:49:00;-0.30;-0.23;-0.61;-0.29;288.22;15.07;-24.16;-20.43;347.73;355.63;84.54;-3.74;-7.90;-11.64;
07.10.2017 01:50:00;-0.30;-0.24;-0.67;-0.30;288.20;15.05;-24.13;-20.83;343.29;355.19;86.33;-3.30;-11.90;-15.20;
07.10.2017 01:51:00;-0.31;-0.24;-0.58;-0.30;288.22;15.07;-24.87;-21.05;350.07;354.95;84.64;-3.82;-4.88;-8.70;
07.10.2017 01:52:00;-0.31;-0.25;-0.55;-0.29;288.20;15.05;-25.23;-22.06;352.35;355.59;87.42;-3.18;-3.24;-6.41;
07.10.2017 01:53:00;-0.30;-0.25;-0.54;-0.29;288.18;15.03;-24.69;-22.13;352.40;355.54;89.64;-2.56;-3.14;-5.70;
07.10.2017 01:54:00;-0.30;-0.25;-0.55;-0.29;288.16;15.01;-24.38;-22.10;351.91;355.86;90.67;-2.28;-3.95;-6.22;
07.10.2017 01:55:00;-0.30;-0.26;-0.53;-0.29;288.12;14.97;-24.15;-22.36;353.05;355.60;92.62;-1.78;-2.55;-4.33;
07.10.2017 01:56:00;-0.30;-0.24;-0.53;-0.28;288.11;14.96;-24.26;-21.22;352.77;356.01;87.45;-3.05;-3.23;-6.28;
07.10.2017 01:57:00;-0.30;-0.24;-0.53;-0.29;288.10;14.95;-24.06;-20.59;352.61;355.80;85.61;-3.47;-3.19;-6.65;
07.10.2017 01:58:00;-0.30;-0.24;-0.54;-0.28;288.10;14.95;-24.58;-20.80;352.02;356.09;84.63;-3.78;-4.07;-7.85;
07.10.2017 01:59:00;-0.30;-0.24;-0.54;-0.28;288.06;14.91;-24.28;-20.75;352.08;355.75;85.46;-3.53;-3.67;-7.20;
07.10.2017 02:00:00;-0.30;-0.23;-0.53;-0.28;288.08;14.93;-23.96;-20.42;352.89;356.06;85.24;-3.54;-3.17;-6.70;
07.10.2017 02:01:00;-0.29;-0.23;-0.52;-0.28;288.09;14.94;-23.13;-20.29;353.31;355.85;87.77;-2.83;-2.54;-5.37;
07.10.2017 02:02:00;-0.30;-0.24;-0.52;-0.28;288.08;14.93;-24.53;-21.16;353.25;355.88;86.30;-3.36;-2.63;-5.99;
07.10.2017 02:03:00;-0.30;-0.24;-0.54;-0.28;288.07;14.92;-24.34;-20.87;352.36;356.44;85.73;-3.48;-4.08;-7.56;
07.10.2017 02:04:00;-0.29;-0.23;-0.54;-0.28;288.02;14.87;-23.78;-20.51;352.00;355.84;86.23;-3.28;-3.84;-7.12;
07.10.2017 02:05:00;-0.29;-0.24;-0.52;-0.28;288.00;14.85;-23.82;-20.77;352.87;356.06;87.23;-3.04;-3.18;-6.23;
07.10.2017 02:06:00;-0.28;-0.23;-0.52;-0.28;288.02;14.87;-22.89;-20.43;353.09;356.11;89.28;-2.45;-3.02;-5.47;
07.10.2017 02:07:00;-0.28;-0.23;-0.52;-0.28;288.06;14.91;-22.99;-20.31;353.34;356.35;88.33;-2.68;-3.01;-5.69;
07.10.2017 02:08:00;-0.29;-0.23;-0.53;-0.28;288.10;14.95;-23.15;-19.72;353.27;356.52;85.19;-3.43;-3.25;-6.68;
07.10.2017 02:09:00;-0.30;-0.23;-0.54;-0.28;288.09;14.94;-24.19;-20.15;352.12;355.94;83.32;-4.04;-3.81;-7.85;
07.10.2017 02:10:00;-0.30;-0.24;-0.54;-0.28;288.10;14.95;-24.35;-20.97;352.13;356.26;86.13;-3.38;-4.13;-7.51;
07.10.2017 02:11:00;-0.30;-0.24;-0.53;-0.28;288.10;14.95;-24.10;-20.78;353.04;356.39;86.26;-3.31;-3.35;-6.67;
07.10.2017 02:12:00;-0.30;-0.24;-0.53;-0.28;288.09;14.94;-24.33;-20.53;353.02;356.53;84.40;-3.80;-3.51;-7.31;
07.10.2017 02:13:00;-0.29;-0.23;-0.53;-0.28;288.11;14.96;-23.74;-20.15;353.27;356.65;84.90;-3.59;-3.38;-6.97;
07.10.2017 02:14:00;-0.29;-0.23;-0.52;-0.28;288.15;15.00;-23.35;-20.10;353.76;356.65;86.11;-3.25;-2.89;-6.13;
07.10.2017 02:15:00;-0.29;-0.24;-0.53;-0.28;288.15;15.00;-23.20;-20.56;353.45;356.62;88.62;-2.64;-3.17;-5.81;
07.10.2017 02:16:00;-0.29;-0.24;-0.53;-0.28;288.18;15.03;-23.44;-20.76;353.21;356.51;88.57;-2.68;-3.30;-5.98;
07.10.2017 02:17:00;-0.29;-0.23;-0.57;-0.28;288.20;15.05;-23.69;-20.26;350.94;356.91;85.51;-3.43;-5.98;-9.41;
07.10.2017 02:18:00;-0.29;-0.22;-0.60;-0.29;288.18;15.03;-23.40;-19.61;348.63;355.99;83.80;-3.79;-7.36;-11.15;
07.10.2017 02:19:00;-0.29;-0.23;-0.54;-0.29;288.18;15.03;-23.74;-20.51;352.33;356.16;86.40;-3.23;-3.83;-7.06;
07.10.2017 02:20:00;-0.29;-0.23;-0.54;-0.29;288.19;15.04;-23.26;-20.44;353.01;356.30;87.88;-2.82;-3.29;-6.11;
07.10.2017 02:21:00;-0.29;-0.23;-0.53;-0.29;288.20;15.05;-23.55;-20.40;353.49;356.34;86.62;-3.15;-2.86;-6.01;
07.10.2017 02:22:00;-0.29;-0.23;-0.53;-0.28;288.22;15.07;-23.38;-20.25;353.72;356.56;86.62;-3.13;-2.84;-5.97;
07.10.2017 02:23:00;-0.29;-0.23;-0.54;-0.29;288.24;15.09;-23.73;-20.21;353.29;356.50;85.21;-3.51;-3.22;-6.73;
07.10.2017 02:24:00;-0.30;-0.24;-0.54;-0.29;288.27;15.12;-24.48;-20.61;353.32;356.64;84.20;-3.87;-3.32;-7.19;
07.10.2017 02:25:00;-0.30;-0.24;-0.54;-0.28;288.28;15.13;-24.58;-20.87;353.26;356.87;84.95;-3.70;-3.61;-7.31;
07.10.2017 02:26:00;-0.30;-0.24;-0.54;-0.28;288.29;15.14;-23.89;-21.12;353.44;357.05;88.39;-2.77;-3.60;-6.38;
07.10.2017 02:27:00;-0.29;-0.24;-0.53;-0.29;288.27;15.12;-23.53;-21.02;353.61;356.35;89.31;-2.51;-2.74;-5.25;
07.10.2017 02:28:00;-0.30;-0.25;-0.53;-0.29;288.28;15.13;-24.27;-21.43;353.87;356.64;88.33;-2.84;-2.77;-5.61;
07.10.2017 02:29:00;-0.31;-0.25;-0.53;-0.29;288.29;15.14;-24.81;-21.44;354.17;356.64;86.42;-3.37;-2.47;-5.84;
07.10.2017 02:30:00;-0.30;-0.24;-0.53;-0.28;288.26;15.11;-24.34;-20.79;353.47;357.12;85.42;-3.54;-3.65;-7.20;
07.10.2017 02:31:00;-0.30;-0.23;-0.53;-0.28;288.25;15.10;-24.14;-20.19;353.75;356.81;83.68;-3.95;-3.06;-7.00;
07.10.2017 02:32:00;-0.29;-0.23;-0.54;-0.29;288.27;15.12;-23.24;-20.04;353.41;356.77;86.24;-3.20;-3.36;-6.56;
07.10.2017 02:33:00;-0.30;-0.23;-0.54;-0.29;288.28;15.13;-23.91;-20.40;352.99;356.54;85.33;-3.51;-3.56;-7.07;
07.10.2017 02:34:00;-0.30;-0.24;-0.54;-0.29;288.31;15.16;-24.63;-21.22;353.59;356.63;86.15;-3.41;-3.04;-6.45;
07.10.2017 02:35:00;-0.30;-0.25;-0.54;-0.29;288.31;15.16;-24.13;-21.70;353.53;356.69;89.93;-2.43;-3.16;-5.59;
07.10.2017 02:36:00;-0.30;-0.25;-0.53;-0.29;288.30;15.15;-23.96;-22.15;353.71;356.54;92.46;-1.81;-2.84;-4.64;
07.10.2017 02:37:00;-0.30;-0.25;-0.54;-0.29;288.29;15.14;-24.28;-22.02;353.11;356.48;90.69;-2.26;-3.37;-5.63;
07.10.2017 02:38:00;-0.30;-0.25;-0.54;-0.28;288.27;15.12;-24.17;-21.92;353.40;356.79;90.69;-2.25;-3.39;-5.65;
07.10.2017 02:39:00;-0.30;-0.25;-0.53;-0.29;288.27;15.12;-24.18;-21.52;353.80;356.61;89.00;-2.66;-2.82;-5.48;
07.10.2017 02:40:00;-0.31;-0.25;-0.53;-0.28;288.24;15.09;-24.84;-22.14;353.70;356.66;89.15;-2.70;-2.96;-5.65;
07.10.2017 02:41:00;-0.30;-0.25;-0.53;-0.28;288.20;15.05;-23.92;-21.52;353.48;356.55;89.96;-2.40;-3.06;-5.47;
07.10.2017 02:42:00;-0.30;-0.24;-0.53;-0.28;288.20;15.05;-24.07;-21.18;353.51;356.61;88.01;-2.89;-3.09;-5.98;
07.10.2017 02:43:00;-0.30;-0.24;-0.54;-0.28;288.21;15.06;-24.13;-20.84;353.04;356.57;86.35;-3.29;-3.52;-6.82;
07.10.2017 02:44:00;-0.30;-0.25;-0.54;-0.28;288.22;15.07;-24.29;-21.55;353.09;356.62;88.72;-2.74;-3.52;-6.26;
07.10.2017 02:45:00;-0.30;-0.25;-0.54;-0.28;288.19;15.04;-24.20;-21.56;352.75;356.49;89.12;-2.63;-3.74;-6.38;
07.10.2017 02:46:00;-0.30;-0.25;-0.53;-0.28;288.13;14.98;-24.33;-21.86;353.02;356.10;89.86;-2.47;-3.07;-5.54;
07.10.2017 02:47:00;-0.30;-0.25;-0.53;-0.28;288.08;14.93;-24.10;-21.92;352.55;356.01;90.98;-2.18;-3.46;-5.63;
07.10.2017 02:48:00;-0.30;-0.25;-0.54;-0.28;288.05;14.90;-24.42;-21.49;351.62;356.36;88.01;-2.93;-4.74;-7.66;
07.10.2017 02:49:00;-0.30;-0.24;-0.54;-0.28;288.01;14.86;-24.28;-21.20;351.92;356.13;87.32;-3.08;-4.20;-7.28;
07.10.2017 02:50:00;-0.29;-0.23;-0.53;-0.28;288.02;14.87;-23.43;-20.47;352.33;356.62;87.37;-2.96;-4.29;-7.25;
