Ident      : Friedri     
Location   : CN test
Serial No  : 00
Sam Rate: 1 s
  Slowest  : 1 s
  Fa   : 2 re Re : 6 ate me;CN-SWU;CN-SWL;CN-LWU;CN-LWL;CN-TempK;CN-TempC;CNSWU#B7;CNSWL#B;CNU#B;CN#B;CN00;CN#B;CN;CN#B7
Kind;AI;AI;AI;AI;AI;CA;CA;CA;CA;CA;CA;CA;CA;CA
Unit; mm; mm; mm; mm; °K;°C;W;W;W;w;%;m2;m2;
06.10.2017 00:00:00;-0.24;-0.15;-0.14;-0.18;286.17;13.02;-19.68;-12.97;370.03;358.59;65.91;-6.71;11.44;4.73;
06.10.2017 00:01:00;-0.26;-0.15;-0.17;-0.18;286.13;12.98;-20.91;-13.13;367.58;358.50;62.83;-7.78;9.08;1.30;
06.10.2017 00:02:00;-0.26;-0.15;-0.19;-0.17;286.14;12.99;-21.00;-13.02;366.73;358.79;62.02;-7.98;7.94;-0.04;
06.10.2017 00:03:00;-0.25;-0.15;-0.16;-0.17;286.12;12.97;-20.51;-12.77;368.33;358.76;62.29;-7.73;9.57;1.84;
06.10.2017 00:04:00;-0.25;-0.14;-0.15;-0.17;286.10;12.95;-20.44;-12.66;368.87;358.78;61.95;-7.78;10.09;2.32;
06.10.2017 00:05:00;-0.25;-0.14;-0.13;-0.17;286.04;12.89;-20.25;-12.40;370.22;358.82;61.24;-7.85;11.40;3.55;
06.10.2017 00:06:00;-0.26;-0.15;-0.13;-0.17;285.99;12.84;-20.81;-12.77;369.79;358.50;61.37;-8.04;11.29;3.25;
06.10.2017 00:07:00;-0.25;-0.14;-0.14;-0.17;285.93;12.78;-20.30;-12.65;369.04;358.51;62.32;-7.65;10.53;2.88;
06.10.2017 00:08:00;-0.25;-0.14;-0.12;-0.17;285.89;12.74;-20.04;-12.63;370.48;358.34;63.03;-7.41;12.14;4.73;
06.10.2017 00:09:00;-0.24;-0.15;-0.14;-0.16;285.85;12.70;-19.36;-12.75;368.53;358.48;65.89;-6.61;10.05;3.45;
06.10.2017 00:10:00;-0.23;-0.14;-0.15;-0.16;285.84;12.69;-19.02;-12.44;367.95;358.64;65.43;-6.58;9.30;2.72;
06.10.2017 00:11:00;-0.24;-0.14;-0.17;-0.16;285.85;12.70;-19.25;-12.12;366.77;358.80;62.98;-7.12;7.97;0.85;
06.10.2017 00:12:00;-0.24;-0.14;-0.16;-0.16;285.86;12.71;-19.21;-11.91;367.15;358.78;61.99;-7.30;8.37;1.07;
06.10.2017 00:13:00;-0.24;-0.13;-0.16;-0.16;285.85;12.70;-19.29;-11.29;367.23;358.69;58.54;-8.00;8.53;0.54;
06.10.2017 00:14:00;-0.24;-0.13;-0.17;-0.16;285.83;12.68;-19.57;-11.77;366.64;358.58;60.14;-7.80;8.05;0.25;
06.10.2017 00:15:00;-0.23;-0.14;-0.14;-0.16;285.83;12.68;-18.85;-12.11;368.15;358.61;64.27;-6.74;9.54;2.81;
06.10.2017 00:16:00;-0.23;-0.14;-0.15;-0.16;285.83;12.68;-18.95;-12.19;367.75;358.57;64.34;-6.76;9.18;2.42;
06.10.2017 00:17:00;-0.23;-0.14;-0.17;-0.16;285.85;12.70;-18.54;-12.12;366.80;358.65;65.35;-6.43;8.14;1.72;
06.10.2017 00:18:00;-0.23;-0.13;-0.17;-0.16;285.88;12.73;-18.78;-11.59;366.60;358.67;61.73;-7.19;7.93;0.73;
06.10.2017 00:19:00;-0.24;-0.14;-0.15;-0.16;285.90;12.75;-19.19;-11.84;367.87;358.72;61.73;-7.34;9.15;1.81;
06.10.2017 00:20:00;-0.24;-0.14;-0.16;-0.16;285.93;12.78;-19.20;-12.02;367.37;359.02;62.65;-7.17;8.35;1.18;
06.10.2017 00:21:00;-0.23;-0.14;-0.18;-0.17;285.95;12.80;-18.50;-11.88;366.43;358.96;64.23;-6.62;7.47;0.86;
06.10.2017 00:22:00;-0.23;-0.14;-0.19;-0.17;285.99;12.84;-18.79;-12.12;365.62;359.10;64.51;-6.67;6.52;-0.15;
06.10.2017 00:23:00;-0.23;-0.14;-0.19;-0.17;286.01;12.86;-18.39;-12.30;366.17;359.08;66.89;-6.09;7.10;1.01;
06.10.2017 00:24:00;-0.23;-0.14;-0.18;-0.17;286.00;12.85;-18.74;-12.21;366.52;358.99;65.15;-6.53;7.53;1.00;
06.10.2017 00:25:00;-0.24;-0.14;-0.16;-0.17;286.00;12.85;-19.33;-12.43;367.69;359.02;64.33;-6.90;8.67;1.77;
06.10.2017 00:26:00;-0.24;-0.14;-0.16;-0.17;286.00;12.85;-19.53;-12.51;367.82;359.05;64.05;-7.02;8.77;1.75;
06.10.2017 00:27:00;-0.24;-0.14;-0.17;-0.17;285.99;12.84;-19.52;-12.43;367.46;359.01;63.70;-7.09;8.45;1.36;
